organization,link,org_link,address,description,fees,eligibility,languages,areas_served,last_updated
Madison Community Services - Recovery During Immigration and Settlement (RISE),https://www.torontocentralhealthline.ca/displayService.aspx?id=177970,http://madisoncs.org/,"c/o Zena Birhany 437 Church St, Suite 407 Toronto, ON M4Y 2C3",Program for new immigrants who are experiencing mental health issues during their settlement process * RISE provides program clients with supports with both mental health and settlement challenges Services include: one-on-one mental health case management support peer support information sessions (on health and wellbeing as well settlement) social and recreational activities,Free * provide mobile service within TTC regions,Newcomers experiencing mental health and settlement challenges,English * French * Amharic * Arabic * Persian * Spanish * Swedish * Tamil,Toronto,"July 28, 2020"
Manantial Neighbourhood Services - Manantial Neighbourhood Services - Main Office,https://www.torontocentralhealthline.ca/displayService.aspx?id=132816,http://www.manantial.ca,"Emmanuel Church of the Nazarene, 1875 Sheppard Ave W Lower Level Toronto, ON M3L 1Y6","Organization that provides crisis intervention and newcomer integration services to primarily Latin American immigrants COVID19-- essential services are being delivered online, via email, or over the phone where possible individual counselling by phone, video, or online youth, women's groups, and seniors' programs delivered online until further notice offices open Tuesday and Friday - call to schedule an appointment Services include: individual and family counselling counselling and advocacy for abused women crisis intervention parenting support settlement services-immigration assistance with subsidized housing applications and Ontario Works information and referral programs for youth, young mothers, women, and seniors health and safety workshops annual Health Fair Event student placement and volunteer opportunities",None,No restrictions,English * Spanish,Toronto and Vaughan,"July 27, 2022"
"Matthew House Refugee Reception Services, Toronto",https://www.torontocentralhealthline.ca/displayService.aspx?id=132439,http://www.matthewhouse.ca,"981 Dundas St W Toronto, ON M6J 1W4","Temporary shelter COVID19-- services continue with modifications * no walk-in service Temporary shelter settlement assistance, including help with refugee claim process Refugee Hearing Program to simulate Immigration and Refugee Board (IRB) hearings orientation classes, transition program includes links to community occasional drop-in for former residents summer camp",NA,"Recently arrived refugee claimants in Canada less than 28 days - transition program -- vulnerable refugee claimants, including adults, youth and children",English,Toronto,"January 28, 2021"
Mennonite New Life Centre of Toronto - Keele Office,https://www.torontocentralhealthline.ca/displayService.aspx?id=133041,http://www.mnlct.org,"2737 Keele St, Unit 9 Toronto, ON M3M 2E9","Settlement services COVID19-- services are online, via email, secure video counselling or over the phone; limited in-person appointments are available;mnlct.org/covid-19for updates ---------------- Settlement Services immigration counselling assistance with sponsorship applications escort, translation and interpretation, legal referral Newcomer Skills at Work employment mentoring, training in leadership and civic engagement Community Mental Health Program individual counselling, parenting support group, group workshops Services for Refugees mental health counselling or group workshops individual counselling on post-traumatic stress disorder (PTSD), grieving and the refugee process, stress management, anxiety or depression, family intervention peer support and social engagement through workshops on life skills, emotional intelligence or parenting skills sponsorships -- counsellors support people sponsoring refugees under the Group of 5 category and, post-arrival assist with settlement counselling, action plans and form-filling volunteer interpreters available Services may be provided at other locations",None,"Open to all, with a focus on Convention refugees, landed immigrants",English * Arabic * Dari * Farsi * Mandarin * Pashto * Spanish * Ukrainian,Ontario,"July 20, 2022"
"Mennonite New Life Centre of Toronto - Queen Office - Mennonite New Life Centre of Toronto, Queen Office",https://www.torontocentralhealthline.ca/displayService.aspx?id=132614,http://www.mnlct.org,"1774 Queen St E Toronto, ON M4L 1G7","Settlement services COVID19-- essential services online, via email, or over the phone where possible * individual counselling by email, phone or online * activities and information sessions will be delivered online * some classes and group sessions will move to online delivery *mnlct.org/covid-19for updates Settlement Services immigration counselling assistance with sponsorship applications, legal referral seniors group Newcomer Skills at Work -- training in leadership and civic engagement Emotional Integration and Support Program -- individual counselling Services for Syrian Refugees mental health counselling or group workshops individual counselling on post-traumatic stress disorder (PTSD), grieving and the refugee process, stress management, anxiety or depression, family intervention peer support and social engagement through workshops on life skills, emotional intelligence or parenting skills sponsorships -- counsellors support people sponsoring refugees under the Group of 5 category and, post-arrival assist with settlement counselling, action plans and form-filling volunteer interpreters available Aurora House Transitional Residence -- mental health and trauma counselling and long-term clinical case management for residents -- see separate entry Services may be provided at other locations",None,"Open to all with a focus on Convention refugees, landed immigrants, refugee claimants",English * Arabic * Farsi * Mandarin * Spanish,Toronto,"May 6, 2022"
"Midaynta Community Services - Jane Street Hub - Midaynta Community Services, Jane Street Hub",https://www.torontocentralhealthline.ca/displayService.aspx?id=133291,http://www.midaynta.com,"1541 Jane St Toronto, ON M9N 2R3","Settlement and youth programs; registered charity COVID19 -- service available by phone, email or video Housing assistance, help to find affordable market rate housing * Housing Connections (see separate entry) Community Partner -- assistance with housing search and application process Project Turn-Around culturally appropriate intervention program for at-risk youth and family, with counselling, employment and training supports, and mentorship Settlement and orientation * referrals * general counselling * translation and interpretation * referrals for immigration and sponsorship issues * family violence and child welfare counselling * seniors services at various locations",None,Open to all newcomers,English * Arabic * Somali * Swahili,Toronto,"August 6, 2020"
"Midaynta Community Services - Keele Street Office - Midaynta Community Services, Keele Street Office",https://www.torontocentralhealthline.ca/displayService.aspx?id=176602,http://www.midaynta.com,"1652 Keele St Suite 104 Toronto, ON M6M 3W3","Settlement and youth programs; registered charity COVID19 -- service available by phone, email or video Youth mentorship program -- for youth aged 12-16 years, one to one mentoring with an adult * culturally appropriate workshops Settlement and orientation * referrals * general counselling * translation and interpretation * referrals for immigration and sponsorship issues * family violence and child welfare counselling * seniors services at various locations Administrative office at 2150 Islington Ave, Unit 207, Toronto, M9P 3V4",None,Open to all newcomers,English * Arabic * Somali * Swahili,Toronto,"August 6, 2020"
"Neighbourhood Group (The) - Neighbourhood Link Support Services - Employment Services - New Knowledge, New Steps for Newcomers Program",https://www.torontocentralhealthline.ca/displayService.aspx?id=190994,http://neighbourhoodlink.org/employment/employment-programs/,"c/o Employment Services 3036 Danforth Ave Toronto, ON M4C 1N2","A full time, six-week essential skills program for immigrants to navigate the Canadian job market and education system * Participants learn about labour market trends and Canadian business culture, and receive vocational assessments, one-to-one counselling, job search skills and activities, as well as professional networking opportunities. Currently offered virtually",Free,Must be a recipient of Ontario Works who has a minimum LINC level of 4,English,Toronto,"May 10, 2022"
Neighbourhood Group (The) - Neighbourhood Link Support Services - Newcomer Support Programs,https://www.torontocentralhealthline.ca/displayService.aspx?id=190997,http://www.neighbourhoodlink.org/newcomers/,"3036 Danforth Ave Toronto, ON M4C 1N2","Assist newcomers to integrate into Canadian society Beginners Computer and Keyboarding - basic computer class to help newcomers to learn how to use a computer, including Microsoft Word and Internet use Conversation Circles - a safe, encouraging environment in which to have fun while practicing English language skills through playing word games and physical activities Healthy Lifestyle Workshops - help newcomers adjust to Canadian culture when learning to make healthy lifestyle choices Job Search Workshop for Newcomers - a two-week program offered in partnership with the City of Toronto and Access Alliance to offer newcomers information and advice on employment and settlement in Canada New Knowledge, New Steps - six-week essential skills program for new and not-so-new immigrants to help navigate job market",Free,NA,English * Chinese (Cantonese) * Chinese (Mandarin),Toronto,"June 22, 2022"
Neighbourhood Group - Augusta Centre - Homelessness Services,https://www.torontocentralhealthline.ca/displayService.aspx?id=132951,http://www.sschto.ca/Adults/Corner-Drop-in,"260 Augusta Ave Toronto, ON M5T 2L9","Multiservice agency Corner Drop-In breakfast, lunch showers, laundry, phones, mail services and computers assessment and support of OW/ODSP/CPP applications identification and legal support Medical services community nurses vaccination clinic psychiatrist primary care general practitioner Mental health and substance use services case management safer drug use supplies overdose prevention site information and referral for issues related to HIV/Hep C Trustee program money management assistance harm reduction follow-up support services for participants referred through the Streets to Homes program Housing services housing support and referral housing Connections Community Partner L L Odette Place supportive housing for chronically homeless men application through CASH Employment program support, employment readiness and job matching services employment, volunteering and educational opportunities Group programs Acudetox, social action, mindfulness meditation and wellness group Sunday afternoon movie peer supports social, recreational and volunteering opportunities",NA,"Open to all Corner Drop-In -- serves individuals who are homeless or marginally-housed or has mental health or substance use issue concerns, who have low incomes and/or who are socially isolated",English,Toronto (Kensington-Chinatown),"July 28, 2020"
Neighbourhood Group - Employment and Training Centre - Connections Program,https://www.torontocentralhealthline.ca/displayService.aspx?id=133164,http://www.jobhouse.ca,"1415 Bathurst St Suite 100 Toronto, ON M5R 3H8","Multiservice agency Employment services 18 week training course in the fields of customer service, retail or office support consists of 12 weeks in class including business English, customer service, job search and computers 6 week co-op work placement in partnership with City of Toronto and Toronto District School Board -- see separate entries",None,Newcomers and immigrants receiving Ontario Works benefits who speak English as a second language Residency Requirements: City of Toronto,English * Italian * Japanese * Spanish * Tigrinya,Toronto,"June 13, 2022"
Neighbourhood Group - Newcomer Centre - Settlement services,https://www.torontocentralhealthline.ca/displayService.aspx?id=133167,http://www.sschto.ca/,"5231 Yonge St Suite 200 Toronto, ON M2N 5P8","Multiservice agency Settlement services for immigrants and refugees counselling information and referral interpretation advocacy orientation sessions community education workshops participates in LINC (Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto, childminding and transportation assistance available -- see separate entry",None,All newcomers * LINC -- landed immigrants and Convention refugees,English * Farsi * Spanish,Toronto,"September 12, 2019"
Neighbourhood Group - St Stephen's Community House,https://www.torontocentralhealthline.ca/displayService.aspx?id=132804,http://www.sschto.ca/Home,"91 Bellevue Ave Toronto, ON M5T 2N8",Multiservice agency Employment and training centre peer training and development centre newcomer services LINC classes Community services conflict resolution and training HIV / AIDS education housing and homeless services seniors services Youth services youth justice programs and supports after school programs licensed childcare art studio,None,Open to all,English * Cantonese * Mandarin * Portuguese * Spanish,Toronto,"November 7, 2019"
Neighbourhood Information Post,https://www.torontocentralhealthline.ca/displayService.aspx?id=132656,http://nipost.org,"Parliament Street Public Library; 269 Gerrard St E 2nd Fl Toronto, ON M5A 2G3","Community information and referral Community support community information and referral assistance in filling out government and housing forms, call for information income tax clinic phone and mail registry service computer, Internet and email access online resource directory case management advocacy peer-supported community events/festivals and hobby groups Housing Trusteeship Services-- money management services to help clients pay rent on time financial literacy skills landlord and tenant mediation follow-up support and community links Toronto Rent Bank, 416-397-7368-- Neighbourhood Information Post program coordinating agency grants to low-income households who are in rental arrears or need to move into more suitable housing Energy Assistance Programs-- financial assistance to low income individuals and families who are in arrears for their utility bills, and have exhausted all other sources of financial support Assistance with applications forOESP (Ontario Electricity Support Program)-- monthly credit applied to electricity bill for eligible customers based on household income and size Member agency of Toronto Drop-in Network (TDIN)",None,"Low income individuals and families Residency Requirements: Housing Trustee Services, Toronto Rent Bank and Energy Assistance Programs -- Toronto; all other services Bloor St E/Danforth Ave (north) to Lake Ontario (south), Yonge St (west) to Don Valley Parkway (east)",English * French * Arabic * Bosnian * Cantonese * Hindi * Lingala * Mandarin * Russian * Somali * Spanish * Tamil * Turkish,Toronto,"July 20, 2022"
Newcomer Women's Services Toronto - Newcomer Women's Services Toronto - Church Street - Church Street Employment and Settlement Services,https://www.torontocentralhealthline.ca/displayService.aspx?id=132659,http://www.newcomerwomen.org,"355 Church Street, 2d floor Toronto M5B 0B2","Settlement and employment services COVID19-- all services offered virtually Settlement Services counselling, individual or group integration and orientation assistance information and referral in the areas of training and education, legal assistance, health care, housing, interpretation, translation form filling employment program English conversation circle NEW Employment Services online job postings food handler certification course for qualified applicants additional employment services, see separate listing",None,"Open to all genders and people of all immigration status including permanent residents, refugee claimants, international students and temporary foreign workers",English * Farsi * Hindi * Mandarin * Spanish,Toronto,"December 31, 2021"
North York Community House - Central Program Office,https://www.torontocentralhealthline.ca/displayService.aspx?id=132679,http://www.nych.ca/,"700 Lawrence Ave W Suite 350 Toronto, ON M6A 3B4","Multiservice agency Social support programsin several locations information and referral income tax clinic referral to legal services outreach and mobilization to engage residents and strengthen the community Settlement Program outreach program based in elementary and secondary schools from mid-August to end of June and in libraries and social service agencies from July to mid-August refugee support Employment readiness and mentoring-- employment preparation, professional and social mentorship Family and community centre after school programs, parenting groups, youth programs citizenship test preparation Participates inLINC (Language Instruction for Newcomers to Canada)in English, upon assessment by YMCA of Greater Toronto -- see separate entry, child care provided English conversation circles computer club Support for Caregivers 55+ healthy living groups English conversation elder abuse awareness Caregiver Peer Support Group",NA,"Open to all Residency Requirements: Steeles Ave W (north) to St Clair Ave W / Dundas St W (south), Kipling Ave (west) to Yonge St (east)",Arabic * Bengali * Farsi * Hindi * Mandarin * Marathi * Romanian * Russian * Sinhalese * Spanish * Tagalog * Tamil * Urdu * Vietnamese,Toronto (North York),"May 25, 2022"
Northwood Neighbourhood Services - Newcomer Settlement Program,https://www.torontocentralhealthline.ca/displayService.aspx?id=166472,http://www.northw.ca,"1860 Wilson Ave Suite 400 Toronto, ON M9M 3A7","Multiservice agency Information and referral to community and government services assistance with health cards, social insurance numbers, citizenship, permanent resident cards, child benefits, Ontario Works, Canada pensions form filling interpretation and translation services assistance with housing accompaniment to appointment Needs assessment and service planning supportive counselling assist with job readiness skills writing rÃ©sumÃ©s and cover letters, workshops",None,"Newcomers, including Convention refugees and landed immigrants",English * French * Albanian * Amharic * Arabic * Cantonese * Farsi * Gujarati * Hindi * Italian * Mandarin * Pashto * Punjabi * Somali * Spanish * Swahili * Tigrinya * Urdu * Vietnamese,Toronto (North York),"September 8, 2022"
Oasis Centre des femmes - Oasis Centre des femmes - Toronto,https://www.torontocentralhealthline.ca/displayService.aspx?id=133424,http://www.oasisfemmes.org/,"c/o Wood St 465 Yonge St CP 73022 Wood St Toronto, ON M4Y 2W5","Resource centre for francophone women Abuse issues, sexual assault and incest services Individual counselling Support and accompaniment Transitional support Awareness and prevention of violence against women School and community workshops Community programs For all francophone women Computer courses Sexual assault prevention in primary and secondary schools Prevention within the community Volunteer opportunities Services for newcomer, immigrant and refugee women Range of support services for French-speaking immigrant and refugee women Accompaniment Action Femmes -- social and education group for newly arrived refugee and immigrant women who are feeling isolated Transitional and Housing Support program Assistance in finding housing ÃLAN program Employment preparation for all francophone women in search of employment Computer courses Self-employment and entrepreneurship Family Court Support Worker Program Information on the family court process Assistance in documenting the history of abuse for family court proceedings Referral to specialized services and supports in the community Safety planning Court accompaniment to proceedings when appropriate",None,"French-speaking women 16 years and older, who are victims or survivors of domestic violence, sexual assault, incest or other forms of violence * women who are recent immigrants or refugees or who are in search of employment Family Court Support Worker Program -- victims of domestic violence involved in the family court process Residency Requirements: Greater Toronto Area, Peel Region, Halton Region",French,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","December 13, 2021"
Oasis Dufferin Community Centre,https://www.torontocentralhealthline.ca/displayService.aspx?id=133429,http://oasisdufferin.org,"1219 Dufferin St Toronto, ON M6H 4C2","Community centre Food bank closed December 26 to December 30 COVID19-- food bank open, outdoors Wed 9:30 am-12:30 pm, appointments and delivery available in certain circumstances, call to inquire take away meal served outdoors Tue 5:30 pm-6 pm indoor programs not accessible ---------------------------------------------- Community centre serving diverse groups including Spanish-speaking community counselling, orientation, life skills for immigrants and newcomers information and referral counselling for Spanish-speaking women spiritual counselling programs for Spanish-speaking seniors Food Bank-- emergency food - member of Daily Bread Food Bank and supported by Second Harvest",NA,"Open to all Residency Requirements: City of Toronto Food Bank -- Rogers Rd and Vaughan Rd (north) to Dundas St W (south), Keele St (west) to Bathurst St (east)",English * Spanish,Toronto,"May 27, 2022"
OCASI - Ontario Council of Agencies Serving Immigrants - CitizenshipCounts.ca,https://www.torontocentralhealthline.ca/displayService.aspx?id=154096,http://www.citizenshipcounts.ca,"110 Eglinton Ave W, Suite 200 Toronto, ON M4R 1A3",Ontario Council of Agencies Serving Immigrants -- umbrella organization of community agencies that serve immigrants and refugees Project of OCASI to empower young people across Canada to take control of their citizenship status by: highlighting benefits of becoming a Canadian citizen showing how to apply for citizenship helping to study for the citizenship test,None,"All newcomers, 16 years and older",English * French,Canada,"September 22, 2022"
OCASI - Ontario Council of Agencies Serving Immigrants - WelcomeOntario.ca,https://www.torontocentralhealthline.ca/displayService.aspx?id=167454,http://www.welcomeontario.ca,"110 Eglinton Ave W, Suite 200 Toronto, ON M4R 1A3","Ontario Council of Agencies Serving Immigrants -- umbrella organization of community agencies that serve immigrants and refugees Bilingual website created to provide trustworthy information to sponsored refugees, private sponsors and settlement providers in Ontario Created and maintained by Ontario Council of Agencies Serving Immigrants (OCASI)",None,Open to all in Ontario and to settlement practitioners assisting privately sponsored refugees and their sponsors,English * French,Ontario,"September 22, 2022"
Ontario Council of Agencies Serving Immigrants,https://www.torontocentralhealthline.ca/displayService.aspx?id=146240,http://www.ocasi.org,"110 Eglinton Ave W, Suite 200 Toronto, ON M4R 1A3",Represents more than 200 Ontario community organizations serving immigrants * collective action for shared needs and concerns Main services include: research and programs specifically affecting immigrants policy advocacy and lobbying newsletters on OCASI programs Learn at Work - variety of free online courses,NA,"Vary depending on type of membership, specific criteria detailed online",English,Ontario,"March 14, 2022"
Ontario Council of Agencies Serving Immigrants - NewYouth.ca,https://www.torontocentralhealthline.ca/displayService.aspx?id=166485,http://www.newyouth.ca,NA,"Online community for youths who are newcomers to Canada * information on school, employment, permanent residency and refugee claims, legal rights, health services, and daily life in Canada Fees",Free,Youth who are newcomers to Canada,English * French,Ontario,"March 1, 2021"
Ontario Council of Agencies Serving Immigrants - Positive Spaces Initiative,https://www.torontocentralhealthline.ca/displayService.aspx?id=176652,http://www.positivespaces.ca,"110 Eglinton Ave W, Suite 200 Toronto, ON M4R 1A3","Encourages training, education, leadership, organizational capacity and resource sharing in the immigrant and refugee service sector to support LGBTQ+ newcomers, staff, volunteers, and community members",Free,Service providers who serve immigrants and refugees,English,Ontario,"November 7, 2022"
Ontario Council of Agencies Serving Immigrants - WelcomeOntario - Refugee Assistance Information,https://www.torontocentralhealthline.ca/displayService.aspx?id=192791,http://welcomeontario.ca/,NA,"Website bringing together trustworthy information for those helping Syrian refugees settle in Ontario * created and maintained by the Ontario Council of Agencies Serving Immigrants * contains information about the Refugee Settlement Support Project, settlement services as well as additional information in regards to the Syrian conflict",None,Syrian refugees settling in Ontario * those helping Syrian refugees,English * French,Ontario,"January 18, 2022"
Ontario Learning Development Foundation,https://www.torontocentralhealthline.ca/displayService.aspx?id=144029,http://www.oldf.org,"87 Irondale Dr Unit 200, 2nd Flr Toronto M9L 2S6","Community centre with programs for children, youth and newcomers COVID19-- Office closed until further notice ? support available by phone, email or online * visitCOVID-19 Updates Community centre newcomer services children and youth programs training and certification student examination supervision meeting room rentals also locations in Brampton and Mississauga Children's Programs after school programs tutoring summer learning camps March and winter break camps Home Alone safety course Newcomer Supports outreach and settlement services Information and referral learning programs such as General Education Development Program (GED), computer training, English as a Second Language (ESL) classes empowerment programs such as financial literacy, employment coaching, business set-up assistance newcomer repository - The Newcomer (www.thenewcomer.ca) Youth Programs career advise and counselling leadership engagement pre-employment skills training employment support homework/tutoring assistance programs for newcomer youth High Five Principles of Healthy Child Development Home Alone safety course Babysitting course leadership engagement financial literacy Youth Magazine publication - The Youth Mind (Home - Youth Mind (theyouthmind.ca) Seniors/Low-income Earners computer training and pad computing combating food insecurity through food boxes income tax preparation promoting Black excellence and women publications - Black Voice, Home - Youth Mind (womenquest.ca)",Newcomer programs free or cost recovery fees for most children's programs Examination supervision fees vary for different services Registration is required for some programs,"Individuals and families, including children, youth, seniors, new immigrants and refugees Varies by specific program Residency Requirements: Etobicoke, North York, Toronto and all GTHA",English,"Toronto (Etobicoke, North York, Old Toronto) and Toronto Central","March 3, 2022"
Ontario. Ministry of Citizenship and Immigration,https://www.torontocentralhealthline.ca/displayService.aspx?id=172035,http://www.ontario.ca/page/ministry-citizenship-and-immigration,"400 University Ave, 6th Fl Toronto, ON M7A 2R9","Provincial ministry which provides services to newcomers and immigrants to Ontario * engages to encourage social inclusion and recognition for all Ontarians * provides information to newcomers about settlement programs such as finding housing, healthcare and social services, employment, English/French language programs, foreign credential assessments and interpretation/translation services",NA,Newcomers and immigrants,English * French,Ontario,"July 20, 2020"
Ontario. Ministry of Health - Health Connect Ontario - Refugee HealthLine,https://www.torontocentralhealthline.ca/displayService.aspx?id=212909,NA,NA,"Refugees can connect with health care providers who deliver transitional health care and services, including primary care, specialist care, and mental health supports * transitional care includes initial assessments, care, and referrals to other health services",Free,"Refugees - newly arriving refugees and people arriving through other exceptional humanitarian authorizations * Resettlement Assistance Programs, sponsors, and settlement agencies",English * French * Many other languages,Ontario,"May 11, 2022"
"Parkdale Intercultural Association - Main Location - Parkdale Intercultural Association, Main Location",https://www.torontocentralhealthline.ca/displayService.aspx?id=133356,http://www.piaparkdale.com,"Location-1, 1257 Queen St W Toronto, ON M6K 1L5","Multiservice community agency; registered charity COVID19-- settlement services are being delivered in-person with staff at full capacity since April 2022 at both locations of the agency; services are still also available via phone and email, call 416-536-4420 or pia-parkdale@piaparkdale.com for immediate support ; youth peer tutoring program suspended until further notice Settlement Program needs assessment and referral, information and orientation translation and interpretation assistance with government applications and form filling citizenship classes drivers licence written test preparation classes participates in LINC (Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto, childminding and TTC tokens available -- see separate entry Newcomers from the Ukraine who came to Canada via the Canada-Ukraine Authorization for Emergency Travel (CUAET) can also receive settlement services Employment Services referral to employment centres job search training, resume preparation, workshops access to computers, Internet, fax, photocopier Newcomer Youth Program social, educational and recreational services information and outreach employment assistance peer tutoring - suspended until further notice leadership development Educational and Cultural Activities year round income tax clinic for up to 10 years past by appointment seasonal income tax clinic with West Neighbourhood House anti-racism and access and equity programs community events, festivals Child Minding Training Program:in partnership with Davenport Perth Neighbourhood and Community Health Centre, and Queen West Community Health Centre",None,No restrictions; LINC Program -- permanent residents/landed immigrants or Convention refugees,English * Cantonese * Hindi * Hungarian * Japanese * Mandarin * Nepali * Polish * Punjabi * Spanish * Tagalog * Tamil * Tibetan * Vietnamese,Toronto (Old Toronto),"July 4, 2022"
"Parkdale Intercultural Association - Secondary Location - Parkdale Intercultural Association, Secondary Location",https://www.torontocentralhealthline.ca/displayService.aspx?id=186978,http://www.piaparkdale.com,"Location 2, 1365 Queen St W Toronto, ON M6K 1M1","Multiservice community agency; registered charity COVID19-- all settlement services are being delivered at full staff capacity since April 2022; service users can access in-person settlement services. Services also available via phone and email, youth peer tutoring suspended until further notice Settlement Program needs assessment and referral, information and orientation translation and interpretation assistance with government applications and form filling citizenship classes and facilitation of ceremonies in partnership drivers licence written test preparation classes; computer classes participates in LINC (Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto, childminding and TTC tokens available -- see separate entry Settlement services are also available to newcomers from the Ukraine who have come to Canada through the Canada-Ukraine Authorization for Emergency Travel (CUAET) Employment Services drop-in resource centre, referral to employment centres job search training, resume preparation, workshops access to computers, Internet, fax, photocopier Newcomer Youth Program social, educational and recreational services information and outreach employment assistance peer tutoring (suspended) leadership development Educational/Cultural Activities year-round income tax clinic for up to 10 years previous by appointment seasonal income tax clinic with West Neighbourhood House anti-racism and access and equity programs community events, festivals Child Minding Training Program: in partnership with Davenport Perth Neighbourhood and Community Health Centre, and Queen West Community Health Centre Seniors Programs Saturday social and exercise program Tibetan Seniors Program Tai Chi, Line Dance and Yoga Thursday afternoon English conversation class for Tibetan seniors",None,No restrictions; LINC Program -- permanent residents/landed immigrants or Convention refugees,English * Hindi * Hungarian * Spanish * Tibetan * Vietnamese,Toronto (Old Toronto),"July 4, 2022"
Parkdale Queen West Community Health Centre - Parkdale Site - Newcomer Programs - Child Minding Training,https://www.torontocentralhealthline.ca/displayService.aspx?id=191035,http://pqwchc.org/programs-services/community-services-and-programs/programs-for-newcomers-to-canada/child-minding-training/,"1229 Queen St W Toronto, ON M6K 1L2",Opportunities for newcomer women and women living on a low income to develop skills and knowledge in early childhood development and community-based child minding and child care Fees,Free,Newcomer women and women living on low income * priority given to registrants within the Parkdale Community,English * Portuguese * Spanish * Tamil,"Bloor St W (north) to Lake Ontario (south), Parkside Dr (west) to Dovercourt Rd (east)","April 5, 2022"
Parkdale Queen West Community Health Centre - Parkdale Site - Newcomer Programs - Newcomers and Families,https://www.torontocentralhealthline.ca/displayService.aspx?id=191051,http://pqwchc.org/programs-services/community-services-and-programs/programs-for-newcomers-to-canada/newcomers-and-families/,"1229 Queen St W Toronto, ON M6K 1L2","Health promotion programming for newcomers aims to help newcomers and their families increase their physical, mental and emotional wellbeing through accessing health services, programs, and community resources",Free,"New immigrants, refugees and people without official immigration status",English,"Bloor St W (north) to Lake Ontario (south), Parkside Dr (west) to Dovercourt Rd (east)","April 4, 2022"
"Polycultural Immigrant and Community Services - Etobicoke Central - Polycultural Immigrant and Community Services, Etobicoke Central",https://www.torontocentralhealthline.ca/displayService.aspx?id=133317,http://www.polycultural.org,"3363 Bloor St W Toronto, ON M8X 1G2","Multiservice agency Registered Charity COVID19-- all offices are open for appointments; services are offered remotely over the phone, zoom, email ------------- -------------- ------------- Settlement Services orientation, information, assessment and referral supportive counselling for youth, families and women employment and educational counselling commissioner for taking affidavits sessions on housing, education, health care, social assistance, legal assistance, immigration, citizenship, professional licensing and job search Crisis Counselling confidential short-term counselling for youth, adults or families experiencing a crisis situation related to adjusting to life in Canada, mental health, intimate partner violence, substance misuse, trauma, interpersonal problems, parenting or other situation Community Connections Program group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development Participates inLINC(Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto -- see separate entry full time classes childminding for children 19 months-5 years while parents attend classes Multicultural Women's Wellness Program women experiencing mental health struggles and stresses can meet, socialize, share experiences, network, learn and stay active; offered in partnership with Canadian Mental Health Association My Pathways to Employment five-week online course for Ontario Works recipients struggling to find jobs or facing multiple complex barriers to employment. after assessment, participants join a 80-hour pre-employment development workshop that includes career exploration and employment skills development after workshop, participants have post-hiring support for six months. Transition to Employment for Newcomers for newcomers including internationally trained professionals and tradespeople individual coaching, linking to resources, and employment workshops ?Women In Food and Customer Service helps women gain the knowledge and skills needed to get a job in the customer service/food service sectors, includes: customer service and food sector-based labor market trends food and customer service workplace environment; customer service essentials how to use a cash register; food handling certification understanding employer hiring and screening practices job maintenance TRIEC Mentoring Partnership -see separate listing",NA,"Permanent residents, refugee claimants, Convention refugees, and first generation Canadians",English * French * Arabic * Croatian * Polish * Romanian * Russian * Serbian,Toronto,"October 18, 2022"
"Polycultural Immigrant and Community Services - Toronto South West - Polycultural Immigrant and Community Services, Toronto South West",https://www.torontocentralhealthline.ca/displayService.aspx?id=132735,http://www.polycultural.org,"27 Roncesvalles Ave Suite 407 Toronto, ON M6R 3B2","Multiservice agency Registered Charity COVID19-- all offices are open for appointments; services are offered remotely over the phone, zoom, email ------------- -------------- ------------- Settlement Services orientation, information, assessment and referral supportive counselling -- youth, adults families problem gambling counselling for Polish, Russian and Urdu-speaking communities employment and educational counselling commissioner for taking affidavits Housing Connections (see separate entry) Community Partner -- assistance with housing search and application process PAR Program(Partner Assault Response Program) for Polish or Russian speakers, offenders 18 years and older, ordered by the court to attend the program in response to a criminal charge involving domestic violence 12 week group education and counselling program on domestic violence and non-abusive ways of resolving conflict victims/partners of the offender provided with support including safety planning, referrals to community resources, and information on offender's progress","Fees for services of commissioner for taking affidavits - contact organization for details; PAR -- fees, based on sliding scale","Immigrants, refugee claimants and Convention refugees, permanent residents and first generation Canadians",English * Polish * Russian * Ukrainian,Toronto,"October 18, 2022"
Quaker Committee for Refugees,https://www.torontocentralhealthline.ca/displayService.aspx?id=132743,NA,"Friends' Meeting House, 60 Lowther Ave Toronto, ON M5R 1C7","Settlement services for immigrants and refugees Settlement services for newcomers information, referral and counselling - social assistance, immigration orientation, form filling translation and interpretation also every Thursday offers services at the Immigration and Refugee Board of Canada, Immigration Holding Centre",None,New immigrants and refugees,English * Spanish,Toronto,"September 27, 2022"
