Name,Healthline Link,Website,Address,Email,Phone,Description,Fees,Eligibility,Languages,Areas Served,Last Updated
Parkdale Queen West Community Health Centre - Parkdale Site - Newcomer Programs - Child Minding Training,https://www.torontocentralhealthline.ca/displayService.aspx?id=191035,http://pqwchc.org/programs-services/community-services-and-programs/programs-for-newcomers-to-canada/child-minding-training/,"1229 Queen St W Toronto, ON M6K 1L2",NA,416-537-2455 ext 1231,Opportunities for newcomer women and women living on a low income to develop skills and knowledge in early childhood development and community-based child minding and child care Fees,Free,Newcomer women and women living on low income * priority given to registrants within the Parkdale Community,English * Portuguese * Spanish * Tamil,"Bloor St W (north) to Lake Ontario (south), Parkside Dr (west) to Dovercourt Rd (east)","April 5, 2022"
Parkdale Queen West Community Health Centre - Parkdale Site - Newcomer Programs - Newcomers and Families,https://www.torontocentralhealthline.ca/displayService.aspx?id=191051,http://pqwchc.org/programs-services/community-services-and-programs/programs-for-newcomers-to-canada/newcomers-and-families/,"1229 Queen St W Toronto, ON M6K 1L2",NA,416-537-2455 ext 1231,"Health promotion programming for newcomers aims to help newcomers and their families increase their physical, mental and emotional wellbeing through accessing health services, programs, and community resources",Free,"New immigrants, refugees and people without official immigration status",English,"Bloor St W (north) to Lake Ontario (south), Parkside Dr (west) to Dovercourt Rd (east)","April 4, 2022"
"Polycultural Immigrant and Community Services - Etobicoke Central - Polycultural Immigrant and Community Services, Etobicoke Central",https://www.torontocentralhealthline.ca/displayService.aspx?id=133317,http://www.polycultural.org,"3363 Bloor St W Toronto, ON M8X 1G2",info@polycultural.org,416-233-0055,"Multiservice agency Registered Charity COVID19-- all offices are open for appointments; services are offered remotely over the phone, zoom, email ------------- -------------- ------------- Settlement Services orientation, information, assessment and referral supportive counselling for youth, families and women employment and educational counselling commissioner for taking affidavits sessions on housing, education, health care, social assistance, legal assistance, immigration, citizenship, professional licensing and job search Crisis Counselling confidential short-term counselling for youth, adults or families experiencing a crisis situation related to adjusting to life in Canada, mental health, intimate partner violence, substance misuse, trauma, interpersonal problems, parenting or other situation Community Connections Program group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development Participates inLINC(Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto -- see separate entry full time classes childminding for children 19 months-5 years while parents attend classes Multicultural Women's Wellness Program women experiencing mental health struggles and stresses can meet, socialize, share experiences, network, learn and stay active; offered in partnership with Canadian Mental Health Association My Pathways to Employment five-week online course for Ontario Works recipients struggling to find jobs or facing multiple complex barriers to employment. after assessment, participants join a 80-hour pre-employment development workshop that includes career exploration and employment skills development after workshop, participants have post-hiring support for six months. Transition to Employment for Newcomers for newcomers including internationally trained professionals and tradespeople individual coaching, linking to resources, and employment workshops ?Women In Food and Customer Service helps women gain the knowledge and skills needed to get a job in the customer service/food service sectors, includes: customer service and food sector-based labor market trends food and customer service workplace environment; customer service essentials how to use a cash register; food handling certification understanding employer hiring and screening practices job maintenance TRIEC Mentoring Partnership -see separate listing",NA,"Permanent residents, refugee claimants, Convention refugees, and first generation Canadians",English * French * Arabic * Croatian * Polish * Romanian * Russian * Serbian,Toronto,"October 18, 2022"
Quaker Committee for Refugees,https://www.torontocentralhealthline.ca/displayService.aspx?id=132743,NA,"Friends' Meeting House, 60 Lowther Ave Toronto, ON M5R 1C7",refugees@torontoquakers.org,416-964-9669,"Settlement services for immigrants and refugees Settlement services for newcomers information, referral and counselling - social assistance, immigration orientation, form filling translation and interpretation also every Thursday offers services at the Immigration and Refugee Board of Canada, Immigration Holding Centre",None,New immigrants and refugees,English * Spanish,Toronto,"September 27, 2022"
Rainbow / Korean Information and Social Services,https://www.torontocentralhealthline.ca/displayService.aspx?id=133515,NA,"Korean Canadian Cultural Centre; 1133 Leslie St Suite 207 Toronto, ON M3C 2J6",kinforss@yahoo.co.kr,416-617-1231,Settlement services and food bank * registered charity COVID19 -- call for service Settlement services * information and referral * counselling * anger management * translation and interpretation * seminars and workshops * information on Korean culture and community,None,"Korean newcomers, including seniors and students Residency Requirements: Toronto",NA,Toronto,"July 23, 2020"
Refugee Sponsorship Training Program,https://www.torontocentralhealthline.ca/displayService.aspx?id=168982,http://www.rstp.ca,"55 Town Centre Court, Suite 401 Toronto, ON M1P 4X4",info@rstp.ca,416-290-1700,"Supports groups that either sponsor or are interested in sponsoring refugees by providing information, resources and training Application",NA,Groups either sponsoring refugees or interested in sponsoring refugees,English * French,Canada,"July 12, 2022"
Regent Park Community Health Centre - Immigrant/Refugee Programs,https://www.torontocentralhealthline.ca/displayService.aspx?id=181929,http://www.regentparkchc.org,"465 Dundas St E Toronto, ON M5A 2B2",NA,416-364-2261,COVID-19 Service Change: Services by appointment over the phone Services and programs for immigrants and refugees - Assist students with their school work * tutoring help for parents available,Most medical services covered by OHIP * some fees for other programs * dental services - sliding scale,Immigrants and refugees living in the catchment area,English * Bengali * Somali * Tamil,"South of Gerrard, north of King, west of the Don River, east of Sherbourne","September 29, 2020"
Regent Park Community Health Centre - Immigrant/Refugee Programs - Tuesday Immigrant/Refugee Support Drop-in,https://www.torontocentralhealthline.ca/displayService.aspx?id=181930,http://www.regentparkchc.org,"465 Dundas St E Toronto, ON M5A 2B2",NA,416-364-2261,"Weekly walk-in service assisting newcomers and immigrants Services include: community referrals completing forms translation and interpretation assistance with immigration issues, income supports, housing issues",Most medical services covered by OHIP * some fees for other programs * dental services - sliding scale,Immigrants and refugees living in the catchment area,English * Bengali * Somali * Tamil,"South of Gerrard, north of King, west of the Don River, east of Sherbourne","October 5, 2020"
"Salvation Army, Immigrant and Refugee Services - Main Office",https://www.torontocentralhealthline.ca/displayService.aspx?id=133404,http://torontoharbourlight.ca/immigration-and-settlement-services/,"Toronto Harbour Light Ministries; 160 Jarvis St Unit 132 Toronto, ON M5B 2E1",settlementworker@salvationarmyhl.com,NA,"Organization providing immigration and settlement services COVID19-- all appointments by phone or video chat, no in-person services; call for appointment Citizenship, Immigration and Refugee Services assistance with applications for citizenship, passports and protected person travel documents help with spouse, common-law partner and child sponsorship applications refugee system navigation and related procedures such as work/study permits, permanent resident applications as protected person/Convention refugee assistance with applications to become permanent resident based on Humanitarian and Compassionate (H&C) grounds help with permanent resident card and other Canadian identification forms assistance with study permit renewal and work permit applications for international students; information about pathway to become permanent residents help for migrant workers such as work permit assistance for vulnerable people Online English classes and conversation circles Community Resources assessment, information and referral to food programs, clothing and furniture banks, employment centres, schools and education resources, health centres assistance with applications for government programs such as Ontario Works, Employment Insurance, Legal Aid, transitional and subsidized housing Spiritual Care provided through chaplain - referral and resources for religious communities, one-on-one spiritual counselling, and for ceremonies such as weddings, funerals and blessings",None,"Low-income individuals and families with any immigration status Naturalized Canadian Citizens Permanent Residents Refugee Claimants Rejected Refugee Claimants Convention refugees Temporary residents (work permit holders, international students) Non-status, (people without immigration status)",English * Portuguese * Spanish,Toronto,"July 25, 2022"
Settlement services,https://www.torontocentralhealthline.ca/displayService.aspx?id=188393,http://www.the519.org/programs/category/new-to-canada,"519 Church St Toronto, ON M4Y 2C9",info@The519.org,416-392-6874,"Multiservice centre offering social and recreation programs and group meetings for all ages meeting place of choice for Lesbian, Gay, Bisexual, Trans, Queer, 2-Spirit (LGBTQ2S) communities The 519 services and support-The 519 information and updates New to Canada -- One-On-One Settlement Coordination help with immigration forms about hearing, housing, employment, education by appointment weekly program designed for Convention Refugees and Permanent Residents sessions explore issues related to settlement in Canada Youth programs for newcomer youth 14-19 years Youth Engagement program -- focus on English practice and skills building workshops Newcomer Youth Mentorship -- monthly program delivered by peer mentors * hands-on activities which explore issues that matter to youth Among Friends LGBTQ Refugee Support Group weekly presentations and information sessions on topics such as immigration/refugee law, employment and accessing healthcare light meal provided during sessions",NA,Newcomers * immigrants and refugees,English,Toronto (Old Toronto),"February 11, 2020"
Somali Canadian Association of Etobicoke,https://www.torontocentralhealthline.ca/displayService.aspx?id=60669,http://www.somalicanadian.com,"Thistletown Multi-Services Center 925 Albion Rd NW, Unit 202 Etobicoke, ON M9V 1A6",scae@somalicanadian.com,416-742-4601,Community agency providing: settlement and orientation services information and referral translation of documents and escort services for newcomers supportive counselling youth leadership training and counselling workshops drop-in program for Somalian seniors,None,NA,English * Arabic * Italian * Somali,Toronto (Etobicoke),"August 15, 2022"
Toronto Community Hostel - Emergency Shelter,https://www.torontocentralhealthline.ca/displayService.aspx?id=132827,http://www.tchostel.ca,"344 Bloor St W Suite 402 Toronto, ON M5S 3A7",rishi.tch@rogers.com,NA,"Emergency shelter * registered charity COVID19 -- open for service Emergency shelter, capacity 24 * meals, clothing * referrals to other services, assistance and advocacy with Ontario Works * assistance with the refugee claim process and immigration procedures * settlement counselling and orientation, employment counselling, children's program Housing supports for current shelter clients -- includes counselling, housing escorts and advocacy with landlords Follow-up housing supports for former shelter clients -- includes eviction prevention, crisis intervention and personal supports, assistance with immigration procedures and documents, advocacy for housing, immigration and social assistance, housing assistance, volunteer placement",None,"Refugee singles, families and children",English * French * Arabic * Bulgarian * Dari * Farsi * Italian * Punjabi * Russian * Spanish * Swahili * Urdu,Toronto,"June 23, 2020"
Toronto Public Library,https://www.torontocentralhealthline.ca/displayService.aspx?id=133512,http://www.torontopubliclibrary.ca,"789 Yonge St Toronto, ON M4W 2G8",NA,NA,"Lending, reference and research libraries Lending, reference and research libraries materials in print and other various formats including multiple languages additional library services community programs Branch Locations Library Services-- bookmobile and home library services computers Internet access, including free Wi-Fi digital services online research special collections musical instrument lending library meeting rooms Community Programs-- classes, workshops, outreach programs and exhibits English as a Second Language (ESL) classes literacy homework help seasonal income tax clinics Library Settlement Partnerships -- outreach program offering settlement information and referral Seniors Tech Help-- call Answerline 416-397-5981 Monday-Friday 9 am-8 pm, Saturday 9 am-4:30pm staff provides quick answers over the phone to tech questions if longer help session required, contact local branch",None,"Those living, working or attending school in Toronto",English * French,Toronto,"September 12, 2022"
Toronto Public Library - North York Central Library,https://www.torontocentralhealthline.ca/displayService.aspx?id=133839,http://www.torontopubliclibrary.ca,"5120 Yonge St Toronto, ON M2N 5N9",NA,416-395-5796,"Lending, reference and research libraries Lending and reference collections for adults, children and youth focused collections include local history, multilingual, Native Peoples' and parenting services include computer centres, music practice room, fabrication studio, digital innovation hub, digital piano lab, wifi, study spaces, programs, printing, copying and room rentals Community programs - classes, workshops and exhibits Adult Literacy -- see separate record citizenship test preparation employment support for foreign-trained professionals internet search skills training children's programs Digital Literacy Program Financial programs Job Search Newcomer Services seasonal income tax clinic For more information visit website","Fees for non-residents, visit website for information","Open to all, eligibility requirements to borrow materials visit website for information",English,Toronto,"November 14, 2022"
Unison Health and Community Services - Lawrence Heights - Community Health Centre - Case Coordinators,https://www.torontocentralhealthline.ca/displayService.aspx?id=182192,http://www.unisonhcs.org,"12 Flemington Rd Toronto, ON M6A 2N4",NA,416-787-1661,"Provides assistance with accessing Unison's and other community agency' services Services include: information and referral case management links to other community resources advocacy for social services such as housing, immigration, employment, income security, short term crisis counseling",Most medical services covered by OHIP * some fees for other programs,"People living in the catchment area, with the exception of visitors to Canada and students on temporary visas",English,"Steeles Ave W (north) to Hwy 401 (south), Keele St (west) to Bathurst St (east) * also Hwy 401 (north) to St Clair Ave W (south), Humber River (west) to Bathurst St (east)","July 24, 2020"
Women's College Hospital - Crossroads Clinic,https://www.torontocentralhealthline.ca/displayService.aspx?id=157928,http://www.womenscollegehospital.ca/programs-and-services/crossroads-clinic/,"76 Grenville St, 3rd Fl Toronto, ON M5S 1B2",NA,416-323-6031,"Clinic providing comprehensive medical services to newly arrived refugee clients for their first two years in Toronto * link clients to family physicians after two years A range of services including: management of chronic diseases full primary care for children including immunizations pregnancy care family planning advice annual health exams preventive care assistance with issues such as sleep disorders, depressed mood and anxiety diagnosis and management of acute medical issues arranging appointments with specialists health education Syrian Refugee Medical Clinic- medical clinic for Syrian refugees * 416-323-6400 ext 5905 to book appointment",NA,Newly arrived refugees,English * French,Toronto and area,"December 19, 2022"
WoodGreen Community Services - Newcomer Programs and Services,https://www.torontocentralhealthline.ca/displayService.aspx?id=133909,http://www.woodgreen.org/services/newcomers,"815 Danforth Ave Suite 300 Toronto, ON M4J 1L2",newcomerinfo@woodgreen.org,416-645-6000 ext 2100/2200,"Multiservice community centre Newcomer Settlement services orientation to Canada adaptation and integration supportive counselling help with selected documentation information and referral newcomer workshops online workshops Canadian citizenship preparation Syrian family newcomer support program social and recreational activities Newcomer Youth Settlement-- for youth 13-24 years friendship and emotional support individual support homework club computer camp sports club and social and recreational activities orientation to postsecondary education job search support support for at-risk newcomer youth Community Connections Program mentorship for Internationally Trained Professionals -- one-on-one or online program matches internationally trained professionals with a mentor from a similar profession for cultural and professional orientation and English tutoring group activities for newcomers and refugees to help orient them to their new community and establish social and professional networks trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development Chinese Workers Network Bridging Program for Internationally Trained Professionals-- 8 week full time, 16 week part time, sector specific language training for finance and accounting, office administration, customer service, health care, information technology individual counselling action plan development paid and unpaid job placements mentoring and networking resume and interview preparation business communication, Canadian work environment, telephone, business writing and presentation skills on-going support child care and TTC fare available to qualifying participants Financial literacy seasonal income tax clinic -- open to all Some programs and services provided off site",None,Newcomers (immigrants and refugees),NA,Toronto,"March 2, 2020"
World Education Services,https://www.torontocentralhealthline.ca/displayService.aspx?id=133637,http://www.wes.org/ca,"2 Carlton St Suite 1400 Toronto, ON M5B 1J3",NA,800-361-6106,"Verification and evaluation of academic credentials earned outside Canada Verification and evaluation of academic credentials earned outside Canada international degree preview -- self directed web-based service Educational Credential Assessment (ECA) for applicants applying for Canada's immigration programs such as Express Entry designated by Immigration, Refugees and Citizenship Canada (IRCC) World Education Profiles online database to assist in placing newcomer secondary students in appropriate grade levels also online resources on international education",Standard fees for 7 business day service -- $117 for basic (document by document) evaluation of all credentials detailed (course by course assessment) evaluation -- $214 fees are per person/per application internationa,"Internationally educated/trained persons applying for immigration programs, jobs, apprenticeship programs or licensure for regulated professions, or seeking admission to college or university Residency Requirements: Canada",English * French,Canada,"June 22, 2022"
YMCA of Greater Toronto,https://www.torontocentralhealthline.ca/displayService.aspx?id=132893,http://www.ymcagta.org,"Administrative office 2200 Yonge St, Suite 300 Toronto, ON M4S 2C6",memberservices@ymcagta.org,416-928-9622,"Organization that offer children, teens, young adults and families the opportunity for personal growth, community involvement and leadership Registered Charity COVID19 -- check the dedicated website We're getting ready to welcome you back Health, social, recreational and community services * child and youth camps and outdoor education",NA,Residents of the Greater Toronto Area,English,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","July 24, 2020"
YMCA of Greater Toronto - Newcomers,https://www.torontocentralhealthline.ca/displayService.aspx?id=201050,http://www.ymcagta.org,"Administrative office; 2200 Yonge St, Suite 300 Toronto M4S 2C6",memberservices@ymcagta.org,416-928-9622,"Organization that offer children, teens, young adults and families the opportunity for personal growth, community involvement and leadership Services and Programs:",NA,NA,NA,"Toronto (East York, Etobicoke, North York, Old Toronto, Scarborough, York)","January 10, 2022"
"YMCA of Greater Toronto - Newcomers - Language Assessment and Referral Centre, Consumers Road Centre",https://www.torontocentralhealthline.ca/displayService.aspx?id=152672,http://ymcagta.org/employment-and-immigrant-services/immigrant-services/language-assessment-and-referral-services,"251 Consumers Rd, Suite 110 Toronto M2J 4R3",ImmigrantServices@ymcagta.org,416-502-2484 ext 33401,"Organization that offer children, teens, young adults and families the opportunity for personal growth, community involvement and leadership COVID19-- service continues by email, virtual English and French language assessments Eligibility screening, language skills assessment and referral to English or French language government-funded programs programs include Language Instruction for Newcomers to Canada (LINC)/Cours de Langue pour les Immigrants au Canada (CLIC), LINC Home Study/CLIC en ligne, English as a Second Language (ESL) programs/French as a Second Language (FSL), Higher-Level Language Training (HLLT) such as Enhanced Language Training (ELT)/Cours de langue de niveau avancÃ© (CLNA), Occupation-Specific Language Training (OSLT)/ la Formation linguistique axÃ©e sur les professions (FLAP), and Specialized Language Training (SLT)",None,NA,English * French * Armenian * Bengali * Cantonese * Farsi * Hindi * Mandarin * Mongolian * Pashto * Russian * Spanish,Toronto,"January 10, 2022"
YMCA of Greater Toronto - Newcomers - Next Stop Canada Pre-Arrival Settlement Services,https://www.torontocentralhealthline.ca/displayService.aspx?id=191841,http://nextstopcanada.ca,"2200 Yonge St, Unit 300 Toronto, ON M4S 2C6",info@nextstopcanada.ca,416-928-3362,"Organization that offer children, teens, young adults and families the opportunity for personal growth, community involvement and leadership Next Stop Canada -- online pre-arrival settlement information and orientation about life in Canada referrals to pre- and post-arrival services information on topics such as settlement, education, employment, housing, community connections personalized settlement plans, online resources such as webinars, videos and e-learning adult and youth mentorship programs and community forums",None,NA,English * French * Arabic * Cantonese * Dari * Farsi * Filipino * Hindi * Japanese * Mandarin * Portuguese * Punjabi * Romanian * Spanish * Tamil * Urdu * Vietnamese,Canada,"December 29, 2021"
"YMCA of Greater Toronto - Newcomers - North York Dufferin Street Centre - Newcomer Information Centre, North York Dufferin Street Centre",https://www.torontocentralhealthline.ca/displayService.aspx?id=132706,http://newcomersincanada.ca/,"4580 Dufferin St, 2d Floor Toronto M3H 5Y2",info@newcomersincanada.ca,416-630-0330,"Organization that offer children, teens, young adults and families the opportunity for personal growth, community involvement and leadership COVID19-- offices open by appointment, book here --https://app.smartsheet.com/b/form/7379468defa14b1bb33bad5062e98c71/or service continues online Settlement information and referral settlement information sessions in various locations guest speaker series Newcomer Network access to computers, fax, photocopiers, and phone settlement resource library information on immigration and citizenship, employment and job searching, access to trades and professions, credential assessment, education and training, language classes, health and housing, community, recreation and consumer resources, human rights, legal and social services, child, youth and family resources, food, shelter, and clothing Library Settlement Partnerships-- outreach program at Centennial Library settlement information and referral Community Connections Mentorship Program (formerly HOST Program) -- group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks, trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development Newcomer Youth Services youth-focused settlement information and referral Newcomer Youth Leadership Development -- youth learn about their community, gain volunteer hours, build leadership, language, communication and social skills workshops and activities for parents and youth",None,NA,English * French * Arabic * Armenian * Bulgarian * Farsi * Portuguese * Romanian * Russian * Turkish * Ukrainian,"Toronto, Peel Region, Durham, and York Census Division","August 28, 2020"
"YMCA of Greater Toronto - Newcomers - Scarborough Milner Business Court Centre - Newcomer Information Centre, Scarborough Milner Business Court Centre",https://www.torontocentralhealthline.ca/displayService.aspx?id=143101,http://newcomersincanada.ca/,"10 Milner Business Court, Suite 600 Toronto M1B 3C6",info@newcomersincanada.ca,416-609-0218,"Organization that offer children, teens, young adults and families the opportunity for personal growth, community involvement and leadership COVID19-- offices open by appointment, book here --https://app.smartsheet.com/b/form/7379468defa14b1bb33bad5062e98c71/or service continues online Settlement information and referral settlement information sessions in various locations guest speaker series Newcomer Network access to computers, fax, photocopiers, and phone settlement resource library information on topics such as immigration and citizenship, employment and job searching, access to trades and professions, credential assessment, education and training, language classes, health and housing, community, recreation and consumer resources, human rights, legal and social services, child, youth and family resources, food, shelter, and clothing Community Connections Mentorship Program(formerly HOST Program) -- group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks, trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development Newcomer Youth Services youth-focused settlement information and referral Newcomer Youth Leadership Development -- youth learn about their community, gain volunteer hours, build leadership, language, communication and social skills workshops and activities for parents and youth",None,NA,English * Arabic * Cantonese * Fujianese * Hindi * Indonesian * Japanese * Mandarin * Portuguese * Punjabi * Spanish * Urdu,Toronto and York Census Division,"January 30, 2020"
Canada. Immigration and citizenship,https://www.torontocentralhealthline.ca/displayService.aspx?id=167639,http://www.cic.gc.ca,NA,NA,NA,"Canadian federal department * facilitates the arrival of immigrants, provides protection to refugees, and offers programming to help newcomers settle in Canada citizenship services passport program issues work and study permits to work or study in Canada services for immigrants, including issuing permanent resident cards refugee resettlement programs and handles refugee claims",Varies by service,People seeking to immigrate to Canada * refugee claimants * people working towards Canadian citizenship * people seeking study and work permits in Canada,English * French,Canada,"May 10, 2022"
Canada. Immigration and citizenship - Interim Federal Health Program,https://www.torontocentralhealthline.ca/displayService.aspx?id=169988,http://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/help-within-canada/health-care/interim-federal-health-program/coverage-summary.html,NA,NA,NA,"Health coverage provided on a limited and temporary basis to protected persons (including resettled refugees), refugee claimants and other groups Includes: basic coverage supplemental coverage prescription drug coverage assistive devices and medical supplies and equipment coverage for the Immigration Medical Exam",Free,Eligibility criteria is available online,English * French,Canada,"October 7, 2022"
Canada. Immigration and citizenship - Permanent Resident Card,https://www.torontocentralhealthline.ca/displayService.aspx?id=172715,http://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/pr-card.html,"c/o Case Processing Centre - PR Card PO Box 10020 Sydney, NS B1P 7C1",NA,NA,"Card which is proof of permanent residency status in Canada for immigrants who are not Canadian citizens * used for re-entry into Canada * permanent residents outside Canada who do not have one can get a permanent resident travel document to return to Canada New permanent residents receive a card following the approval of their permanent residency application * permanent residents need to apply for the card if the permanent resident card is lost, destroyed, expired or will expire or there has been a name change",Set fee,Permanent residents,English * French,Canada,"May 24, 2022"
Chinese Association of Mississauga,https://www.torontocentralhealthline.ca/displayService.aspx?id=91138,http://chineseassociationmississauga.com,"Golden Square Centre 1177 Central Pkwy W, Unit 16 Mississauga, ON L5C 4P3",NA,905-275-8558,"Chinese Association * Community/Social Activities for seniors and members * Language Instruction For Newcomers To Canada (LINC) * ESL * Newcomers Settlement Services * Child care * Volunteer opportunities and training * Job search, Resume and Cover Letter Workshop * Computer Internet Service for settlement need * Housing and Referral Services * Community Volunteer Income Tax Program for low income families, seniors, and students * Assisting low-income families and seniors to apply for Ontario Works in Peel and Peel Access to Housing * Interpretive services * Commissioner for taking affidavits *",Membership,NA,English * Chinese (Mandarin) * Interpretive Services,"Orangeville, Toronto (Etobicoke), Dufferin County, Halton Region, and Peel Region","March 4, 2020"
Cross-Cultural Community Services Association - Peel Centre,https://www.torontocentralhealthline.ca/displayService.aspx?id=91136,http://www.tccsa.on.ca,"720 Burnhamthorpe Rd W, Unit 2 Mississauga, ON L5C 3G1",NA,905-615-9500,"Assists newcomers to adapt to the Canadian style of living and become the mainstream of the Canadian mosaic Settlement Services Department - assists new immigrants to know more about the social system of Canada and help them to adapt to the Canadian style of living through our counselling services * services include one to one counselling * information workshops * orientation days for newcomers * settlement fact sheets * computer access * employment orientation * employment preparation program Counselling services - includes counselling on education * immigration * housing * children's benefit * registration (birth, marriage, etc) * taxation * employment * health care system * citizenship * senior's benefits * social assistance, etc Education And Language Training Department - helps newcomers become competent in everyday English * enhances Computer English learning * provides knowledge and techniques required for the process of applying for Canadian citizenship and taking the test * ensures the continuity of heritage language for the Chinese youngsters and provides sufficient reading materials in their own native language * services offered include LINC Classes (Level 1 - 5) * free child minding services * English as a Second Language Classes (ESL) - low, intermediate and high level * citizenship preparation classes - beginner, basic and intermediate level Community And Youth Department - assists newcomers of Chinese origin to adapt to the Canadian style of living * helps participants to strengthen their communication skills and improve their quality of living * services offered include volunteer training * Youth Ambassador Program * women support group * senior support group * interest groups * Children's Day Camp (Spring and Summer) * ELITE - Evergreen Leader-In-Training for Exercise * parent support program * Damayan Filipino Drop-In and Information Centre (sponsored by TCCSA)",NA,Citizens * immigrants * convention refugees,English * Arabic * Chinese (Cantonese) * Chinese (Mandarin) * Japanese,Peel Region and Greater Toronto Area,"May 23, 2019"
Immigration and Refugee Board of Canada,https://www.torontocentralhealthline.ca/displayService.aspx?id=144367,http://www.irb-cisr.gc.ca,"Minto Place, Canada Building 344 Slater St, 12th Fl Ottawa, ON K1A 0K1",NA,NA,Resolves and makes decisions on immigration and refugee cases in accordance with the immigration and refugee laws * adjudicates refugee claims and appeals Application,NA,NA,English * French,Canada,"April 13, 2020"
Ontario Immigration,https://www.torontocentralhealthline.ca/displayService.aspx?id=14007,http://www.ontarioimmigration.ca,NA,NA,NA,"Provincial government website providing information about places to live, work and study in Ontario for newcomers * offers details on how to start a new business or practice in a trade or profession * provides links to immigration forms and how to get work permits, Ontario Health Card and Ontario driver's license",NA,Newcomers and immigrants to Ontario,English * French,Ontario,"May 13, 2022"
Settlement.Org,https://www.torontocentralhealthline.ca/displayService.aspx?id=14482,http://www.settlement.org,NA,NA,NA,"Website provides newcomers with information and resources to settle in Ontario * topics include health, employment, immigration and citizenship, housing, education, community, daily life, and legal services * searchable regional directory of settlement agencies and services * forum for answering questions and sharing experiences",Free,NA,English * French,Ontario,"May 13, 2022"
SociÃ©tÃ© Ãconomique de lâOntario (SÃO),https://www.torontocentralhealthline.ca/displayService.aspx?id=189294,http://seo-ont.ca/,"214 Montreal Rd, Suite 202 Ottawa, ON K1L 8L8",NA,613-590-2493,"Provincial network with a professional team that takes an innovative approach to economic development, entrepreneurship, employability and immigration * engages all of the Francophone and bilingual community's stakeholders in fostering the prosperity of Ontario and Canada",NA,Francophone newcomers,English * French,Ontario,"May 13, 2022"
Sood Sabha of North America,https://www.torontocentralhealthline.ca/displayService.aspx?id=110679,NA,"5223 Astwell Ave N Mississauga, ON L5R 3H8",soodsabha-toronto@hotmail.com,647-893-7800,"A not-for-profit organization bringing families together. (Bhawan) for organizing family ceremonies and get-together * provides boarding and lodging to new immigrants to stay free of charge for two weeks * basic membership is for Sood families, but honorary membership available to all * donations accepted (funds raised through charity)",Membership - $50/yr; can be waived for volunteers; Life membership: $1000,None,English * Hindi * Punjabi,Greater Toronto Area,"April 22, 2019"
World University Service of Canada,https://www.torontocentralhealthline.ca/displayService.aspx?id=168975,http://wusc.ca,"1404 Scott St Ottawa, ON K1Y 4M8",wusc@wusc.ca,613-798-7477,"Works towards international development and towards equality and sustainability * works with partners around the world to provide education, employment and empowerment opportunities to disadvantaged youth Includes initiatives in gender equality, education, health, employment and development, and life skills * refugee programs",NA,Varies according to the program,English * French,Canada,"April 28, 2022"
